,area,content,count,date,like,link,page,pk,title
10,中正區,近來許多香港人移居台灣，這股置產風也吹到地上權產品，位台北市中正區的地上權案「將捷SOLO」，該案專案副理朱國榮表示，5月底開案至今，每周都有香港客戶預約賞屋，目前已接待10組以上，主要是地上權在香港行之有年，且開價較周邊行情親民，香港客接受度高。淡江大學產經系副教授莊孟翰表示，雖香港人對地上權產品接受度較高，但假如是投資，還須考慮未來每年增加的持有稅，加上地上權案房價未來還有下修可能性，因此恐怕看熱鬧的居多。（畢務潔／台北報導）「蘋果掀房事」每周三中午12點半，午餐加好料～更多房地產新聞，請參考蘋果地產王粉絲團,11,2015/10/21/,,http://www.appledaily.com.tw/realtimenews/article/property/20151021/716099/applesearch/香港人夯什麼？,2,apl00011,香港人夯什麼？
11,中正區,南機場公辦都更案今年7月再度重啟，點燃北市都更話題。近日更因台北市長柯文哲能否於任內完成南機場一、二、三期公辦都更整宅，吵得沸沸揚揚，但都更話題能否帶起房價呢？房仲統計，南機場一、二、三期公辦都更整宅，今年最低交易每坪47.1萬元，最高交易每坪55.5萬元，僅相差8.4萬元，且未來轉手受限，不見收購潮。近期頗具話題的南機場一、二、三期公辦都更整宅，隸屬中正區門牌，位於中華路二段與西藏路交叉口一帶，屬於第3種住宅區，容積率225%。據台灣房屋智庫統計近2年住宅實價行情，去年最低每坪35.1萬元，最高55.2萬元，相差20.1萬元，高低房價價差比為57.3%，但今年最低價格漲至47.1萬元，雖價漲超過3成，但未創高價，最高價維持55.5萬元，僅相差8.4萬元，價差比縮至17.8%。台灣房屋智庫發言人張旭嵐表示，去年低價可能是第一手屋主出售，因取得成本低，屋況已舊，提早獲利了解，因此高低價差較大。但公辦都更後為國民住宅，有5年內不得轉手出售等限制，且有中繼宅等爭議，都更期程拉長，對投資客與建商吸引力不大，觀察今年沒創高價的成交行情，都更前價格回歸至本身屋況條件。不過，公辦、自辦都更行情大不同，與一、二、三期整宅距離僅250公尺的「南機場13號基地自辦都更整宅」，去年住宅房價最低每坪33.9萬元，最高每坪成交70.6萬元、總價670萬元，價差比達108.3%。張旭嵐表示，該區離捷運萬大線近，以最高成交個案來看，都更前為9.49坪公寓小套房，土地持分3.49坪，換算每坪土地買價192萬元，與萬華區商一土地行情每坪200萬元相比，還算合理。而都更後，可換到產權約15坪的電梯套房，以萬華電梯套房預售每坪70萬元，日後可望有千萬身價、獲利5成機會。她指出，但此案今年因已進行事業計劃審查與公聽會，都更成功率大，住戶惜售，今年無正常買賣交易。（于靜芳／台北報導）「蘋果掀房事」每周三中午12點半，午餐加好料～更多房地產新聞，請參考蘋果地產王粉絲團,12,2015/10/20/,,http://www.appledaily.com.tw/realtimenews/article/property/20151020/715240/applesearch/都更助漲？　南機場公辦宅不見收購潮,2,apl00012,都更助漲？　南機場公辦宅不見收購潮
12,中正區,滙豐(台灣)商業銀「東門分行」全新開幕，營業時間延長至下午5 點，滿足客戶財富管理諮詢需求。「東門分行」為滙豐台灣首家新型態分行，除了不再設置傳統現金櫃台，另設有3大專區，包含「數位專區」方便客戶進行網路銀行服務的使用與體驗，「諮詢專區」提供專屬財富管理服務，「自助理財自動櫃員機專區」另設有外幣提款機，方便客戶隨時進行美元現鈔提領服務。「東門分行」位於信義路上、捷運東門站附近，緊鄰永康麗水商圈，交通與生活機能優越。加上附近的中正紀念堂的藝文表演活動與大安森林公園的都心綠地，為中正區的精華區塊。滙豐(台灣)商業銀行個人金融暨財富管理事業處資深負責人葉清玉表示，看到客戶對於理財專業建議的需求新型態的「東門分行」延長營業時間到下午5點，提供有需的客戶專屬的財富管理諮詢服務。同時，數位金融的快速發展也逐步影響消費者行為，「東門分行」特別設有數位專區，客戶可自由使用平板電腦進行網路銀行服務與體驗，相關問題亦可隨時諮詢行員，讓數位金融使用經驗更輕易地融入客戶的日常生活中。（林潔禎／台北報導）,13,2015/10/19/,,http://www.appledaily.com.tw/realtimenews/article/finance/20151019/714767/applesearch/滙豐新型態分行　營業至下午5時,2,apl00013,滙豐新型態分行　營業至下午5時
13,中正區,繼公布淹水、住宅竊盜熱點後，台北市長柯文哲昨宣布，將再公布性侵熱點。北市警察局昨說，將改良現已上網公告的「易發生婦幼被害犯罪地點」，加一欄列舉該地點發生何種刑案，如性侵、猥褻案等，最快本周內上網公告，讓民眾提高警覺。今日出版的《蘋果日報》報導，依最新「易發生婦幼犯罪被害地點」資料，犯罪地點最多前三名，依序是文山、松山及中正區。北市府發言人林鶴明昨說，熱區資料供執法單位改進依據，會監督後續治安改善成效，觀察時間約一年。不少民眾叫好說，早該公布了。  （葉國吏／綜合報導）北市易發生婦幼犯罪地點列舉●1.文山區 12處．北捷萬芳醫院站、辛亥站、指南路一段道南橋下等●2.松山區 10處．南京東路五段147巷（西松國小後門）、八德路四段106巷、敦化北路與八德路口地下道等●3.中正區 7處．台北火車站周邊、北捷公館站1號出口、河濱公園內公廁（水源路、師大路附近）等●其他區 25處．依序為士林6處、信義5處，萬華、中山各3處，大安、北投、內湖各2處，大同、南港各1處註：表列資料每3個月更新一次，此為今年4~6月統計；上述地點含強盜、搶奪、性侵害、妨害風化及傷害等案發點與易犯罪點。未來將多一欄「列管原因」，標示發生何種刑案等資料來源：北市警局婦幼隊、北市府資訊開放平台http://goo.gl/BQUw0Z,14,2015/10/18/,,http://www.appledaily.com.tw/realtimenews/article/life/20151018/713748/applesearch/台北市性侵熱點公布　這些地方「很恐怖」,2,apl00014,台北市性侵熱點公布　這些地方「很恐怖」
14,中正區,,15,2015/10/18/,,http://www.appledaily.com.tw/appledaily/article/headline/20151018/36846849/applesearch/柯要揭性侵熱點民叫好,2,apl00015,柯要揭性侵熱點 民叫好
15,中正區,,16,2015/10/16/,,http://www.appledaily.com.tw/appledaily/article/property/20151016/36842669/applesearch/萬華中華路一段首排大樓每坪6字頭起,2,apl00016,萬華中華路一段 首排大樓每坪6字頭起
16,中正區,都更案的整合開發曠日廢時，繼寶舖建設、勤耕建設曾在接待中心或待都更的舊屋打造咖啡館，近期名冠都建設也在中正區南昌路開設「都更咖啡館」，歡迎里民來喝喝咖啡進行交流。該咖啡館於今年4月開始營業，除有咖啡飲品，還有酒吧可提供有需求的客人酒精性飲品。「這家店不是開來賺錢的，是讓附近民眾可以常來休息聊天」，名冠都建設開發部經理許書銘表示，因在咖啡館後方街廓整合都更，目前已走到權利變換的程序，住戶開始選屋，由於周邊多是老舊公寓，較少電梯大樓，怕年邁的屋主不願走樓梯來處理，所以特地承租南昌路的1、2樓店面使用，樓上當都更辦事處，樓下則改成咖啡館。除方便都更屋主前來討論相關事宜外，該公司也計劃擴大都更基地，持續整合包含咖啡館店址在內的街廓，所以屋主選完屋後仍會繼續營業，增加與周邊住戶面對面討論都更、互相分享意見與交流的機會。許書銘認為，大多數民眾一輩子就參與1次都更，對於都更常不甚了解，所以提供咖啡廳空間讓大家面對面溝通，有任何都更問題、意見都能直接討論，甚至有民眾會來包場舉辦讀書會，只要付少許飲料費，就能盡情使用咖啡廳空間。（張琬聆／台北報導）「蘋果掀房事」每周三中午12點半，午餐加好料～更多房地產新聞，請參考蘋果地產王粉絲團,17,2015/10/14/,,http://www.appledaily.com.tw/realtimenews/article/property/20151014/711289/applesearch/都更好慢　先開咖啡館和居民交流,2,apl00017,都更好慢　先開咖啡館和居民交流
17,中正區,北市衛生局今公布新增3例本土登革熱確診個案，新增3例個案分別居住於信義區、南港區及中正區，3人於潛伏期期間均曾至台南、高雄。比對個案潛伏期、活動地區，均無出國紀錄，判定屬本土性登革熱個案，初步排除感染地為台北市。台北市衛生局疾病管制處長陳少卿表示，居住信義區個案為28歲男子，上周曾至台南，於本周一發燒，昨日至醫院採檢送驗，目前掌握台北接觸者兩人，無疑似症狀，但台南接觸者兩人皆為登革熱確診個案。另一名個案為居住南港區32歲男子，本月初曾至台南，於上周發燒並至診所就醫，因症狀未改善，本周日至醫院急診住院且採檢送驗確診，目前掌握台北接觸者兩人，均無疑似症狀。陳少卿指出，最後一名個案為居住中正區35歲男子，本月初日曾至高雄，上周出現發燒症狀並至診所就醫，因症狀未改善，昨日至醫院採檢送驗後返家休養，目前掌握台北接觸者兩人，均無疑似症狀。陳少卿說，今年北市累計確診55例本土性登革熱個案及48例境外移入個案，衛生局接獲確診訊息後，立即啟動登革熱緊急防治措施，針對個案居住地及病毒血症期停留大於兩小時的活動地周邊半徑100公尺範圍，進行病媒蚊密度調查及清除孳生源。（沈能元／台北報導）</iframe,18,2015/10/14/,,http://www.appledaily.com.tw/realtimenews/article/life/20151014/711288/applesearch/北市今增3例本土登革熱　患者曾到過南部,2,apl00018,北市今增3例本土登革熱　患者曾到過南部
18,中正區,台北市雖為首善之都，但房價也高到嚇人，據今年1~8月實價登錄資料，台北市住宅每坪單價63.3萬元，是新北市每坪31.2萬元的2倍多，但房仲統整雙北市各行政區，發現北市仍有萬華區、北投區、文山區共3個高CP值地區，電梯大樓房價更低於新北市永和區。 太平洋房屋統整雙北各行政區住宅價格，前3名為大安區85.0萬元、中正區72.8及松山區72.0萬元，前10名皆為北市行政區；新北市以永和區單價45.6萬元最高，擠上12名，但北市萬華區單價44.1萬元，比新北永和區45.6萬元還要低，每坪少了1.5萬元，排名13，而排名10、11的文山區與北投區，每坪皆45.8萬元，也僅多永和區0.2萬元。 若觀察產品類型，電梯大樓中，台北市萬華區平均單價46.0萬元、北投區46.7萬元、文山區46.3萬元，與新北市永和區47.9萬元相比，分別便宜1.9萬元、1.2萬元、1.6萬元。公寓部分，萬華區單價39.1萬元，低於永和40.5萬元，文山區40.6萬元、北投區42.3萬元，也都與永和區相差不遠。 太平洋房屋副總經理章克勤表示，萬華區發展早，除西門町商圈有觀光議題拉抬外，當地房市較少受到關注，外地客有限，正因如此，萬華區房價親民，尤其捷運萬大線開工，已逐漸帶動周邊發展。而位北市一北一南的北投區與文山區，屬郊區，房價基期本低，但兩區皆有捷運直達信義、大安區，生活機能完善，適合注重品質的自住客。 但即使要入住北市高CP值區，也不簡單，章克勤指出，以30坪房屋總價1100~1400萬元，在利率2%、貸款20年條件計算，每月需繳3.5~4.2萬元房貸，而房貸金額最好佔家庭月收入3成，推估北市高CP值地區的家庭月收入需11~14萬元。（于靜芳／台北報導）「蘋果掀房事」每周三中午12點半，午餐加好料～ 想了解更多房市奇談，請到蘋果地產王粉絲團,19,2015/10/14/,,http://www.appledaily.com.tw/realtimenews/article/property/20151014/711044/applesearch/台北居大不易　隱藏版高CP區在這！,2,apl00019,台北居大不易　隱藏版高CP區在這！
19,中正區,,20,2015/10/10/,,http://www.appledaily.com.tw/appledaily/article/property/20151010/36827957/applesearch/大安自在10戶純住家大樓,2,apl00020,大安自在 10戶純住家大樓
20,中正區,本內容由公庫提供圖文／好勁稻工作室臺北市議員郭昭巖繼於本週一召開「嘉禾新村遲未拆除」會勘後，又接續在昨日的教育部門質詢火力全開，直指「真正的在地人」的聲音與需求是沒有被重視到的，以及專家學者及學生常常不是「在地人」，不見得會去了解在地問題等背離事實的說法，好勁稻工作室於今日發布聲明回應，並呼籲於八月底「中正萬華復興計畫」戶外開講承諾專案小組處理的柯市府盡快邀集民間團體等相關人溝通。「在地人」邏輯無限上綱好棒棒發起嘉禾保存運動的「好勁稻工作室」創立之初，即有於嘉禾新村居住超過半世紀的居民、與嘉禾新村僅一牆之隔且共同位於中正區富水里的臺大水源校區學生等「在地人」共同參與。而若要問「在地需求」，除了眷村原居民外，許多成員從外地來這求學、生活、消費，恐怕比議員更能看到「在地特色」，也更有誠意想面對各方的不同聲音，而不是以「在地人」的假議題來製造本地/外地的矛盾....(閱讀全文),21,2015/10/08/,,http://www.appledaily.com.tw/realtimenews/article/local/20151008/707715/applesearch/【公庫】嘉禾新村將於下週慘遭拆除？,3,apl00021,【公庫】嘉禾新村將於下週慘遭拆除？
21,中正區,,22,2015/10/07/,,http://www.appledaily.com.tw/appledaily/article/supplement/20151007/36819654/applesearch/新光人壽慈善基金會口述歷史十年有成,3,apl00022,新光人壽慈善基金會 口述歷史十年有成
22,中正區,【特別企劃】重劃區向來是房市寵兒，因為具備完善規劃、品質佳的生活及未來發展潛力高等要素，而受到青睞，民眾對於能獲得較高居住品質的環境充滿興趣，也吸引建商積極插旗獵地，推案量屢創新高。 「重劃區」是一種新興的住宅型態，同時也是都市建設的開發重點，為因應日趨飽和的都市人口，政府有計畫的透過區段徵收，將土地整合、重劃，甚至帶入建設題材支撐，使得原本不起眼的一塊荒地，變成土地價值極高的黃金地段。純住宅型重劃區  買方市場接受度高重劃區大致可分為有商業區進駐的型態及純住宅區兩種，各有其利弊優缺，端看消費者的需求為何。目前市場轉以買方為主，純住宅區型態的重劃區，因為規劃完善、貼近實際居住需求，因而成為不少買家在購屋時的首要選擇。 近期較受矚目的純住宅重劃區有中和華中橋西側重劃區及北投奇岩重劃區等，其中又以華中橋西側重劃區最為受到關注，因為中永和一帶為新北市早期發展區域，人口密度相當高，住宅市場本就供不應求，且區域內少見大塊素地，所以華中橋西側重劃區的開發，格外受到矚目。單一建商規劃  街廓風格統一該區是以大直水岸住家為發展藍本，由政府與民間企業以BT方式開發，低密度、建蔽率50%、高綠覆率，市容整齊、街廓新穎，在大約5萬7千坪大的造鎮規模裡，把將近2/3的空間規劃為公園綠地造景，住宅區僅佔造鎮規模的1/3，將空間留給住戶，打造宜居的純住環境。 在單一建商整體規劃下，華中橋西側重劃區變身為擁有河畔景觀及河濱綠意的優質住宅區，不但提升了生活品質，區域價值與水岸城市地位也跟著一躍翻身，直可媲美大直水岸豪宅區，但區域行情卻僅有大直1/3價，因此，除了吸引中和舊市區的區域客換屋外，其中也不乏來自北市大安區、中正區的買家跨橋置產。鄰近舊市區  同享成熟商圈生活機能重劃區最為人所詬病的就是往往需要等待一段商圈養成期，但若是鄰近舊市區的重劃區，則可以仰賴舊市區的已成熟的商圈機能，如華中橋西側重劃區鄰近COSTCO、家樂福等賣場聚集的熱鬧地段，內湖五期也有多家大型賣場，基本的日常生活採買不受影響。,23,2015/10/03/,,http://www.appledaily.com.tw/realtimenews/article/property/20151003/703851/applesearch/【特企】大台北重劃區PK華中橋西側重劃區大直1/3價聚買氣,3,apl00023,【特企】大台北重劃區PK  華中橋西側重劃區  大直1/3價聚買氣
23,中正區,,24,2015/10/03/,,http://www.appledaily.com.tw/appledaily/article/property/20151003/36812550/applesearch/大台北重劃區PK華中橋西側重劃區大直1/3價聚買氣,3,apl00024,大台北重劃區PK  華中橋西側重劃區  大直1/3價聚買氣
