_id,update_date,update_time,qua_id,code_name,longitude,latitude,qua_cntu,qua_cl,qua_ph
54,2015-10-22,09:45:00  ,JT52        ,潭美國小,121.58255,25.06248,0.11,0.43,7.2
55,2015-10-22,09:45:00  ,JT53        ,東湖國中,121.58088,25.0775,0.08,0.45,7.1
56,2015-10-22,09:45:00  ,JT54        ,民生加壓站,121.54186,25.14058,0.06,0.46,7.0
57,2015-10-22,09:45:00  ,JT55        ,興隆公營住宅1區,121.55806,24.98833,0.02,0.36,8.1
58,2015-10-22,09:45:00  ,YM00        ,陽明淨水場,121.52388,25.15261,0.05,0.59,7.2
59,2015-10-22,09:45:00  ,YM01        ,隧道                  ,121.50303,25.14582,0.01,0.56,6.6
60,2015-10-22,09:45:00  ,YM02        ,中正路配水池                 ,121.53615,25.15329,0.03,0.5,6.7
61,2015-10-22,09:45:00  ,YM03        ,中山樓                 ,121.5451,25.15725,0.14,0.51,7.2
62,2015-10-22,09:45:00  ,YM04        ,鹿角坑(三加),121.54746,25.18501,0.11,0.6,7.6
63,2015-10-22,09:45:00  ,YM05        ,泉源國小,121.51595,25.15081,0.48,0.28,8.0
64,2015-10-22,09:45:00  ,YM06        ,三角埔加壓站,121.52562,25.12964,0.04,0.47,6.8
