,,area,count,link,page,pk
121,121,松山區,38,http://www.chinatimes.com/newspapers/20151009000466-260107,6,ltn00122
122,122,松山區,39,http://www.chinatimes.com/newspapers/20151008000121-260205,7,ltn00123
123,123,松山區,40,http://www.chinatimes.com/newspapers/20151007000855-260302,7,ltn00124
124,124,松山區,41,http://www.chinatimes.com/newspapers/20151006000532-260102,7,ltn00125
125,125,松山區,42,http://www.chinatimes.com/realtimenews/20151005003089-260410,7,ltn00126
126,126,松山區,43,http://www.chinatimes.com/realtimenews/20151005005190-260403,7,ltn00127
127,127,松山區,44,http://www.chinatimes.com/newspapers/20151005000326-260102,7,ltn00128
128,128,松山區,45,http://www.chinatimes.com/realtimenews/20151003004103-260404,7,ltn00129
129,129,松山區,46,http://www.chinatimes.com/newspapers/20151002000023-260202,7,ltn00130
130,130,大安區,1,http://www.chinatimes.com/realtimenews/20150929001305-260401,1,ltn00131
131,131,大安區,2,http://www.chinatimes.com/realtimenews/20150929001505-260405,1,ltn00132
132,132,大安區,3,http://www.chinatimes.com/newspapers/20150930000526-260107,1,ltn00133
133,133,大安區,4,http://www.chinatimes.com/realtimenews/20150929001439-260401,1,ltn00134
134,134,大安區,5,http://www.chinatimes.com/newspapers/20150929000357-260102,1,ltn00135
135,135,大安區,6,http://www.chinatimes.com/realtimenews/20150929001142-260401,1,ltn00136
136,136,大安區,7,http://www.chinatimes.com/realtimenews/20150928002312-260401,1,ltn00137
137,137,大安區,8,http://www.chinatimes.com/newspapers/20151030001323-260204,2,ltn00138
138,138,大安區,9,http://www.chinatimes.com/realtimenews/20151028002219-260412,2,ltn00139
139,139,大安區,10,http://www.chinatimes.com/realtimenews/20151028004080-260402,2,ltn00140
140,140,大安區,11,http://www.chinatimes.com/newspapers/20151029000437-260114,2,ltn00141
141,141,大安區,12,http://www.chinatimes.com/realtimenews/20151027004987-260408,2,ltn00142
142,142,大安區,13,http://www.chinatimes.com/realtimenews/20151027002195-260405,2,ltn00143
143,143,大安區,14,http://www.chinatimes.com/realtimenews/20151027004250-260409,2,ltn00144
144,144,大安區,15,http://www.chinatimes.com/newspapers/20151026000296-260102,2,ltn00145
145,145,大安區,16,http://www.chinatimes.com/newspapers/20151025000246-260102,2,ltn00146
146,146,大安區,17,http://www.chinatimes.com/realtimenews/20151024003411-260402,3,ltn00147
147,147,大安區,18,http://www.chinatimes.com/newspapers/20151025000234-260102,3,ltn00148
148,148,大安區,19,http://www.chinatimes.com/realtimenews/20151024003408-260402,3,ltn00149
149,149,大安區,20,http://www.chinatimes.com/realtimenews/20151022001961-260410,3,ltn00150
150,150,大安區,21,http://www.chinatimes.com/newspapers/20151023000368-260102,3,ltn00151
151,151,大安區,22,http://www.chinatimes.com/newspapers/20151022000845-260113,3,ltn00152
152,152,大安區,23,http://www.chinatimes.com/newspapers/20151022000397-260102,3,ltn00153
153,153,大安區,24,http://www.chinatimes.com/newspapers/20151022000318-260210,3,ltn00154
154,154,大安區,25,http://www.chinatimes.com/newspapers/20151022000415-260102,3,ltn00155
155,155,大安區,26,http://www.chinatimes.com/newspapers/20151022000397-260102,4,ltn00156
156,156,大安區,27,http://www.chinatimes.com/newspapers/20151022000318-260210,4,ltn00157
157,157,大安區,28,http://www.chinatimes.com/newspapers/20151022000415-260102,4,ltn00158
158,158,大安區,29,http://www.chinatimes.com/newspapers/20151021000356-260208,4,ltn00159
159,159,大安區,30,http://www.chinatimes.com/newspapers/20151020000299-260210,4,ltn00160
160,160,大安區,31,http://www.chinatimes.com/newspapers/20151016000459-260106,5,ltn00161
161,161,大安區,32,http://www.chinatimes.com/newspapers/20151014000640-260107,5,ltn00162
162,162,大安區,33,http://www.chinatimes.com/newspapers/20151014000174-260210,5,ltn00163
163,163,大安區,34,http://www.chinatimes.com/newspapers/20151014000374-260208,5,ltn00164
164,164,大安區,35,http://www.chinatimes.com/newspapers/20151013000029-260202,5,ltn00165
165,165,大安區,36,http://www.chinatimes.com/newspapers/20151010000513-260116,5,ltn00166
166,166,大安區,37,http://www.chinatimes.com/newspapers/20151009000538-260107,6,ltn00167
167,167,大安區,38,http://www.chinatimes.com/realtimenews/20151008001987-260402,6,ltn00168
168,168,大安區,39,http://www.chinatimes.com/realtimenews/20151006002850-260405,6,ltn00169
169,169,大安區,40,http://www.chinatimes.com/realtimenews/20151005001889-260410,6,ltn00170
170,170,大安區,41,http://www.chinatimes.com/newspapers/20151006000817-260112,6,ltn00171
171,171,大安區,42,http://www.chinatimes.com/newspapers/20151003000101-260210,6,ltn00172
172,172,大安區,43,http://www.chinatimes.com/newspapers/20151002000390-260102,6,ltn00173
173,173,大安區,44,http://www.chinatimes.com/newspapers/20151002000378-260102,6,ltn00174
174,174,大安區,45,http://www.chinatimes.com/newspapers/20151002000492-260102,7,ltn00175
175,175,大安區,46,http://www.chinatimes.com/realtimenews/20151002001764-260405,7,ltn00176
176,176,大安區,47,http://www.chinatimes.com/realtimenews/20151002001254-260401,7,ltn00177
177,177,大安區,48,http://www.chinatimes.com/newspapers/20151002000546-260107,7,ltn00178
178,178,大安區,49,http://www.chinatimes.com/realtimenews/20151001001046-260405,7,ltn00179
179,179,大安區,50,http://www.chinatimes.com/realtimenews/20150929001439-260401,7,ltn00180
180,180,大安區,51,http://www.chinatimes.com/realtimenews/20150929002829-260401,7,ltn00181
181,181,萬華區,1,http://www.chinatimes.com/realtimenews/20150928002312-260401,1,ltn00182
182,182,萬華區,2,http://www.chinatimes.com/realtimenews/20150927002418-260402,1,ltn00183
183,183,萬華區,3,http://www.chinatimes.com/newspapers/20150923000589-260107,1,ltn00184
184,184,萬華區,4,http://www.chinatimes.com/newspapers/20150923000587-260107,1,ltn00185
185,185,萬華區,5,http://www.chinatimes.com/newspapers/20150923000443-260102,1,ltn00186
186,186,萬華區,6,http://www.chinatimes.com/newspapers/20151026000779-260301,2,ltn00187
187,187,萬華區,7,http://www.chinatimes.com/realtimenews/20151025002839-260405,2,ltn00188
188,188,萬華區,8,http://www.chinatimes.com/newspapers/20151025000330-260102,2,ltn00189
189,189,萬華區,9,http://www.chinatimes.com/realtimenews/20151022002537-260405,2,ltn00190
190,190,萬華區,10,http://www.chinatimes.com/realtimenews/20151022003302-260405,2,ltn00191
191,191,萬華區,11,http://www.chinatimes.com/newspapers/20151023000436-260106,2,ltn00192
192,192,萬華區,12,http://www.chinatimes.com/realtimenews/20151022002983-260402,2,ltn00193
193,193,萬華區,13,http://www.chinatimes.com/newspapers/20151022000397-260102,2,ltn00194
194,194,萬華區,14,http://www.chinatimes.com/newspapers/20151022000409-260102,3,ltn00195
195,195,萬華區,15,http://www.chinatimes.com/realtimenews/20151021003660-260404,3,ltn00196
196,196,萬華區,16,http://www.chinatimes.com/realtimenews/20151021003788-260410,3,ltn00197
197,197,萬華區,17,http://www.chinatimes.com/realtimenews/20151021004841-260401,3,ltn00198
198,198,萬華區,18,http://www.chinatimes.com/realtimenews/20151020003551-260404,3,ltn00199
199,199,萬華區,19,http://www.chinatimes.com/realtimenews/20151020003600-260404,3,ltn00200
200,200,萬華區,20,http://www.chinatimes.com/newspapers/20151021000469-260114,3,ltn00201
201,201,萬華區,21,http://www.chinatimes.com/realtimenews/20151020003913-260410,3,ltn00202
202,202,萬華區,22,http://www.chinatimes.com/realtimenews/20151020003695-260404,3,ltn00203
203,203,萬華區,23,http://www.chinatimes.com/newspapers/20151021000420-260102,3,ltn00204
204,204,萬華區,24,http://www.chinatimes.com/realtimenews/20151020001043-260402,3,ltn00205
205,205,萬華區,25,http://www.chinatimes.com/newspapers/20151018000299-260102,3,ltn00206
206,206,萬華區,26,http://www.chinatimes.com/realtimenews/20151018000768-260403,4,ltn00207
207,207,萬華區,27,http://www.chinatimes.com/realtimenews/20151015004753-260401,4,ltn00208
208,208,萬華區,28,http://www.chinatimes.com/newspapers/20151016000314-260208,4,ltn00209
209,209,萬華區,29,http://www.chinatimes.com/realtimenews/20151014002142-260410,4,ltn00210
210,210,萬華區,30,http://www.chinatimes.com/realtimenews/20151014004583-260401,4,ltn00211
211,211,萬華區,31,http://www.chinatimes.com/newspapers/20151013000141-260204,5,ltn00212
212,212,萬華區,32,http://www.chinatimes.com/realtimenews/20151011001212-260409,5,ltn00213
213,213,萬華區,33,http://www.chinatimes.com/realtimenews/20151011002639-260402,5,ltn00214
214,214,萬華區,34,http://www.chinatimes.com/newspapers/20151011000317-260102,5,ltn00215
215,215,萬華區,35,http://www.chinatimes.com/newspapers/20151010000015-260202,5,ltn00216
216,216,萬華區,36,http://www.chinatimes.com/newspapers/20151010000583-260116,5,ltn00217
217,217,萬華區,37,http://www.chinatimes.com/realtimenews/20151008006333-260401,5,ltn00218
218,218,萬華區,38,http://www.chinatimes.com/realtimenews/20151007004042-260401,5,ltn00219
219,219,萬華區,39,http://www.chinatimes.com/realtimenews/20151005004331-260401,5,ltn00220
220,220,萬華區,40,http://www.chinatimes.com/realtimenews/20151005003534-260404,5,ltn00221
221,221,萬華區,41,http://www.chinatimes.com/newspapers/20151006000489-260106,5,ltn00222
222,222,萬華區,42,http://www.chinatimes.com/realtimenews/20151005004495-260402,6,ltn00223
223,223,萬華區,43,http://www.chinatimes.com/realtimenews/20151005003681-260404,6,ltn00224
224,224,萬華區,44,http://www.chinatimes.com/newspapers/20151004000310-260102,6,ltn00225
225,225,萬華區,45,http://www.chinatimes.com/cn/realtimenews/20151002004727-260401,6,ltn00226
226,226,萬華區,46,http://www.chinatimes.com/realtimenews/20151002004727-260401,6,ltn00227
227,227,萬華區,47,http://www.chinatimes.com/realtimenews/20151002005442-260403,6,ltn00228
228,228,萬華區,48,http://www.chinatimes.com/newspapers/20151003000322-260102,6,ltn00229
229,229,萬華區,49,http://www.chinatimes.com/realtimenews/20150930004219-260401,7,ltn00230
230,230,萬華區,50,http://www.chinatimes.com/newspapers/20150930000401-260106,7,ltn00231
231,231,萬華區,51,http://www.chinatimes.com/realtimenews/20150928002591-260402,7,ltn00232
232,232,萬華區,52,http://www.chinatimes.com/newspapers/20150929000348-260102,7,ltn00233
233,233,萬華區,53,http://www.chinatimes.com/newspapers/20150929000341-260102,7,ltn00234
234,234,萬華區,54,http://www.chinatimes.com/realtimenews/20150928002312-260401,7,ltn00235
235,235,信義區,1,http://www.chinatimes.com/realtimenews/20150925004009-260401,1,ltn00236
236,236,信義區,2,http://www.chinatimes.com/newspapers/20150926000148-260207,1,ltn00237
237,237,信義區,3,http://www.chinatimes.com/realtimenews/20150924002682-260402,1,ltn00238
238,238,信義區,4,http://www.chinatimes.com/realtimenews/20150924002030-260404,1,ltn00239
239,239,信義區,5,http://www.chinatimes.com/realtimenews/20150924001935-260404,1,ltn00240
240,240,信義區,6,http://www.chinatimes.com/realtimenews/20150922004444-260401,1,ltn00241
241,241,信義區,7,http://www.chinatimes.com/newspapers/20150922000659-260107,1,ltn00242
242,242,信義區,8,http://www.chinatimes.com/newspapers/20150922000547-260102,1,ltn00243
243,243,信義區,9,http://www.chinatimes.com/newspapers/20151031000197-260210,2,ltn00244
244,244,信義區,10,http://www.chinatimes.com/newspapers/20151031000124-260210,2,ltn00245
245,245,信義區,11,http://www.chinatimes.com/newspapers/20151031000265-260210,2,ltn00246
246,246,信義區,12,http://www.chinatimes.com/newspapers/20151031000609-260110,2,ltn00247
247,247,信義區,13,http://www.chinatimes.com/realtimenews/20151030005935-260410,2,ltn00248
248,248,信義區,14,http://www.chinatimes.com/newspapers/20151031000110-260210,2,ltn00249
249,249,信義區,15,http://www.chinatimes.com/newspapers/20151031000044-260202,2,ltn00250
250,250,信義區,16,http://www.chinatimes.com/realtimenews/20151030006226-260410,2,ltn00251
251,251,信義區,17,http://www.chinatimes.com/realtimenews/20151029004414-260410,2,ltn00252
252,252,信義區,18,http://www.chinatimes.com/realtimenews/20151029004992-260410,2,ltn00253
253,253,信義區,19,http://www.chinatimes.com/newspapers/20151030001202-260206,3,ltn00254
254,254,信義區,20,http://www.chinatimes.com/newspapers/20151030001529-260107,3,ltn00255
255,255,信義區,21,http://www.chinatimes.com/realtimenews/20151030002233-260405,3,ltn00256
256,256,信義區,22,http://www.chinatimes.com/newspapers/20151030001343-260204,3,ltn00257
257,257,信義區,23,http://www.chinatimes.com/newspapers/20151030001037-260202,3,ltn00258
258,258,信義區,24,http://www.chinatimes.com/newspapers/20151029000172-260210,3,ltn00259
259,259,信義區,25,http://www.chinatimes.com/newspapers/20151029000732-260112,4,ltn00260
260,260,信義區,26,http://www.chinatimes.com/realtimenews/20151028004080-260402,4,ltn00261
261,261,信義區,27,http://www.chinatimes.com/newspapers/20151029000704-260112,4,ltn00262
262,262,信義區,28,http://www.chinatimes.com/realtimenews/20151028004963-260405,4,ltn00263
263,263,信義區,29,http://www.chinatimes.com/newspapers/20151027000456-260109,4,ltn00264
264,264,信義區,30,http://www.chinatimes.com/newspapers/20151027000232-260206,5,ltn00265
265,265,信義區,31,http://www.chinatimes.com/realtimenews/20151026001909-260410,5,ltn00266
266,266,信義區,32,http://www.chinatimes.com/newspapers/20151027000101-260203,5,ltn00267
267,267,信義區,33,http://www.chinatimes.com/newspapers/20151026000362-260106,6,ltn00268
268,268,信義區,34,http://www.chinatimes.com/newspapers/20151025000246-260102,6,ltn00269
269,269,信義區,35,http://www.chinatimes.com/newspapers/20151025000458-260102,6,ltn00270
270,270,信義區,36,http://www.chinatimes.com/newspapers/20151025000234-260102,6,ltn00271
271,271,信義區,37,http://www.chinatimes.com/newspapers/20151025000234-260102,7,ltn00272
272,272,信義區,38,http://www.chinatimes.com/newspapers/20151024000484-260107,7,ltn00273
273,273,信義區,39,http://www.chinatimes.com/realtimenews/20151023002318-260405,7,ltn00274
274,274,信義區,40,http://www.chinatimes.com/realtimenews/20151023005244-260405,7,ltn00275
275,275,士林區,1,http://www.chinatimes.com/newspapers/20151023000368-260102,1,ltn00276
276,276,士林區,2,http://www.chinatimes.com/newspapers/20151022000956-260303,1,ltn00277
277,277,士林區,3,http://www.chinatimes.com/newspapers/20151021000311-260210,1,ltn00278
278,278,士林區,4,http://www.chinatimes.com/newspapers/20151021000051-260202,1,ltn00279
279,279,士林區,5,http://www.chinatimes.com/newspapers/20151021000075-260202,1,ltn00280
280,280,士林區,6,http://www.chinatimes.com/newspapers/20151020000403-260114,1,ltn00281
281,281,士林區,7,http://www.chinatimes.com/realtimenews/20151020001290-260401,1,ltn00282
282,282,士林區,8,http://www.chinatimes.com/newspapers/20151030001341-260204,2,ltn00283
283,283,士林區,9,http://www.chinatimes.com/newspapers/20151029001013-260310,2,ltn00284
284,284,士林區,10,http://www.chinatimes.com/newspapers/20151029000437-260114,2,ltn00285
285,285,士林區,11,http://www.chinatimes.com/newspapers/20151028000579-260107,3,ltn00286
286,286,士林區,12,http://www.chinatimes.com/realtimenews/20151026001863-260410,3,ltn00287
287,287,士林區,13,http://www.chinatimes.com/newspapers/20151027000196-260206,3,ltn00288
288,288,士林區,14,http://www.chinatimes.com/newspapers/20151026000348-260106,3,ltn00289
289,289,士林區,15,http://www.chinatimes.com/newspapers/20151026000289-260102,3,ltn00290
290,290,士林區,16,http://www.chinatimes.com/realtimenews/20151023005430-260402,4,ltn00291
291,291,士林區,17,http://www.chinatimes.com/realtimenews/20151022001961-260410,4,ltn00292
292,292,士林區,18,http://www.chinatimes.com/newspapers/20151023000345-260208,4,ltn00293
293,293,士林區,19,http://www.chinatimes.com/newspapers/20151022000874-260301,5,ltn00294
294,294,士林區,20,http://www.chinatimes.com/newspapers/20151022000397-260102,5,ltn00295
295,295,士林區,21,http://www.chinatimes.com/newspapers/20151022000415-260102,5,ltn00296
296,296,士林區,22,http://www.chinatimes.com/newspapers/20151022000871-260301,5,ltn00297
297,297,士林區,23,http://www.chinatimes.com/newspapers/20151020000432-260102,5,ltn00298
298,298,士林區,24,http://www.chinatimes.com/newspapers/20151020000426-260106,5,ltn00299
299,299,士林區,25,http://www.chinatimes.com/newspapers/20151016001018-260306,6,ltn00300
300,300,士林區,26,http://www.chinatimes.com/newspapers/20151016000688-260102,6,ltn00301
301,301,士林區,27,http://www.chinatimes.com/newspapers/20151016000119-260204,6,ltn00302
302,302,士林區,28,http://www.chinatimes.com/newspapers/20151014000240-260206,7,ltn00303
303,303,士林區,29,http://www.chinatimes.com/newspapers/20151014000519-260102,7,ltn00304
304,304,北投區,1,http://www.chinatimes.com/newspapers/20151008000352-260208,1,ltn00305
305,305,北投區,2,http://www.chinatimes.com/realtimenews/20151006004107-260403,1,ltn00306
306,306,北投區,3,http://www.chinatimes.com/newspapers/20151007000892-260301,1,ltn00307
307,307,北投區,4,http://www.chinatimes.com/newspapers/20151006000337-260208,1,ltn00308
308,308,北投區,5,http://www.chinatimes.com/newspapers/20151001000512-260107,1,ltn00309
309,309,北投區,6,http://www.chinatimes.com/newspapers/20151029000435-260114,2,ltn00310
310,310,北投區,7,http://www.chinatimes.com/newspapers/20151029000437-260114,2,ltn00311
311,311,北投區,8,http://www.chinatimes.com/realtimenews/20151027004338-260407,2,ltn00312
312,312,北投區,9,http://www.chinatimes.com/realtimenews/20151026001138-260401,2,ltn00313
