,,area,content,count,data,link,page,title
48,48,中正區,麥金路與安和二街口破管，路面小積水。（記者盧賢秀攝）〔記者盧賢秀／基隆報導〕基隆麥金路與安和二街口的1000釐米輸水管破管，將在晚上開挖搶修，預計晚上6點到明天中午停水，有4萬8000戶會停水，幾乎半個基隆市停水，請民眾儲水備用。停水區域包括：中山區全部，仁愛區全部，信義區平地，安樂區崇德路、樂一路、西定路、新西街、定國街、八德路、麥金路和安樂路一段，中正區一部分。自來水公司第一區管理處今天上午6點多接到通報，麥金路與安和二街口自來水管破管，今天沒有下雨，路面仍積水。自來水公司基隆服務所主任林增龍說，這1000釐米的大輸水管，是新山淨水廠送到市區的主要幹管，昨天貢寮和暖暖淨水廠濁度太高，供水較不正常，都靠新山淨水廠支援，因此，不敢停水搶修。林增龍說，貢寮淨水廠今天中午左右已恢復供水，因此在晚上6點開挖搶修，預計從晚上6點到明天中午停水，水公司會儘量提早供水。基隆麥金路安和二街口自來水管破管，晚上6點停水搶修。（記者盧賢秀攝）自來水公司人員檢查漏管處。（記者盧賢秀攝）,49,2015-09-29  17:03,http://news.ltn.com.tw/news/life/breakingnews/1460013,4,麥金路水管破裂 半個基隆都停水了
49,49,中正區,〔記者鍾泓良、郭安家、陳韋宗、湯佳玲、歐祥義／綜合報導〕強烈颱風「杜鵑」襲擊台灣，新店溪上游南勢溪原水濁度昨晚飆破兩萬ＮＴＵ，依照台北市自來水處ＳＯＰ，只要原水濁度超過一萬兩千ＮＴＵ就停止供水，目前雙北已有十九萬用戶停水，如果今天下午四點半之前，北水處仍無法取水，雙北一百五十三萬戶將陷停水危機。台電表示，杜鵑颱風一度造成全台近一百六十六萬戶停電，截至昨日晚間十時止，仍有八十六萬七千多戶停電中；停電地區中，以台中地區近廿五萬戶最多，其次為宜蘭縣十二萬八千戶、桃園市十二萬三千戶、新北市九萬三千多戶、雲林縣則有六萬八千多戶。八月初，蘇迪勒颱風造成全台史上最嚴重颱風停電災情，停電戶數超過四百萬戶。昨日台北自來水事業處如臨大敵，新店溪原水濁度直線飆升，上午原先只有約兩百廿ＮＴＵ，下午四點突破六千ＮＴＵ，達新版ＳＯＰ減壓取水標準；而不到半小時就飆至一萬兩千ＮＴＵ，達停水標準，下午四點半正式停水；晚間八點，原水濁度更達兩萬零五百ＮＴＵ。北水處長陳錦祥表示，若山區豪雨使濁度降不下來，復水時間只能一直延後。截至昨晚十二點截稿為止，雙北停水區域已突破第三圈，共計十九萬戶受影響；第一圈停水區為台北市天母、北投、陽明山、木柵等山區，以及新北市中、永和、新店等地勢較高區域，沒有使用水塔的一樓住戶也受影響。第二圈停水範圍，則包括士林市區、部分中山區、大直及內湖區一帶。第三圈包括北市文山區景美一帶、萬華區、大安區、松山區、信義區、大同區，還有中山區與中正區靠市區一帶，以及新北市三重區。如果今天下午四點半之前，北水處仍無法取水，停水區域將會涵蓋整個雙北地區，影響一百五十三萬戶用水。北水處表示，若必須停水，將啟動廿一處取水站，供應廿五．四萬噸的水源，約可供應台北市民四個小時的供應水量。強颱杜鵑挾帶風雨而來，新店溪上游的滾滾泥水傾洩而下，讓溪水水面不斷上漲。（記者叢昌瑾攝）憂心水質變壞，不少民眾到賣場搶購包裝水備用。（記者林正堃攝）,50,2015-09-29,http://news.ltn.com.tw/news/focus/paper/919468,4,原水濁度飆破2萬 雙北153萬戶恐停水
50,50,中正區,〔記者郭安家、何世昌、鍾泓良、葉冠妤／台北報導〕北市府昨晚八點於災害應變中心做防災會報，杜鵑颱風侵襲北市，深夜災情頻傳，長春路樹倒壓車，車主被救離，濱江街一八○巷淹水深度約五十公分最嚴重。不過，台北市工務局長彭振聲表示，今早八點前會將主要道路倒下的路樹移至到路旁，下班前會將行道樹清理完畢；今早也會視時機開放基隆河、淡水河、新店溪堤外河濱公園及堤外停車場，景美溪則會續漲淹水。交通局長鍾慧諭則說，水門周邊的紅黃線還是開放停車、不收費。台北捷運公司則宣布，北捷文湖線及高運量高架平面路段的圓山站至淡水站、新北投站、小碧潭站今天皆暫停營運，視風雨狀況再復駛。杜鵑颱風愈夜愈發威，長春路、伊通街口有路樹倒塌。一株四層樓高、十二公尺的榕樹不敵勁風橫倒路中；中山區中央里長李及天表示，共有一輛轎車、兩台摩托車行進中被壓到，車和車主都困在樹叢中，隨後在公園處派員搶救之後，三輛被壓到的車都離開了。公園處長張郁慧表示，橫倒的路樹是榕樹，其胸徑約六十公分，高約十二公尺，獲報後，公園處第一時間派工班、廠商趕至現場排除，經現場同仁回報確認壓到車，無人受傷。深夜雨勢漸大，除了樹倒，北市中山區、文山區、北投區、大安區、中正區都傳出積、淹水，其中以中山區濱江街一八○巷淹水最嚴重，淹水深度約五十公分。對此水利處昨表示，該地處低窪且鄰近民航局，水利處接獲通報後，立即通知民航局出動抽水機，而水利處也派員前往現場瞭解淹水原因。鍾慧諭說，昨水門還在清淤，河堤內無法進去，但今天水門周邊的紅黃線還是開放停車、不收費，其他地方為維持車輛暢通，市區內紅黃線沒有開放停車。彭振聲則表示，預計基隆河、淡水河、新店溪堤外河濱公園比較沒什麼問題，水沒淹到高灘地，大概今天早上會把停車場、通道優先讓給行人使用，機車道開放使用；景美溪河畔則有點淹上來，要看今天清理程度，若完成再開放使用，避免發生危險。,51,2015-09-29,http://news.ltn.com.tw/news/local/paper/919498,4,〈台北都會〉杜鵑狂舞樹倒壓車 濱江街淹半米
51,51,中正區,〔記者何世昌／台北報導〕杜鵑颱風登台，最強陣風十七級，強風毀損供電，台北市各區均傳出停電消息。根據台電資料顯示，北市昨下午停電戶數超過一萬六千戶，其中士林區占大宗，停電戶數約一萬四千戶。另外，靠近世新大學的木柵路段路燈受風災而全部斷電，能見度受影響，民眾若行經須減速慢行。據台電資料顯示，截至昨晚六時卅分，北市停電數共一萬六五八七戶，其中士林區占大宗，共一萬四○二七戶；萬華戶有一九四三戶；北投區有三九八戶；信義區有八十戶；內湖區有六十八戶；大同區有卅六戶；文山區有卅四戶。至於中山區、中正區、松山區也一度有兩、三千戶停電，經台電搶修，現已全面恢復供電。對此，台電副總李鴻洲表示，復電有固定的程序，採「供電樞紐變電所→主幹線→分歧線」的原則來進行，並以先捷運、火車、自來水及電話通信等公用設施，接著才會恢復一般家戶的用電。但他也說，為確保台電人員自身安全，會視風雨情況搶修，盼民眾體諒。,52,2015-09-29,http://news.ltn.com.tw/news/local/paper/919502,4,〈台北都會〉停電逾一萬六千戶 士林區最多
52,52,中正區,台北市中醫師公會邀請汾陽中醫診所院長郭威均10月2日上午10時至12時，在該會會議廳（台北市中正區青島西路11號3樓）主講「心臟病、高血壓一定吃西藥嗎？」。洽詢電話為（02）2314-3456轉3。,53,2015-09-29,http://news.ltn.com.tw/news/life/paper/919575,4,《健康充電站》中醫健康講座
53,53,中正區,強烈颱風杜鵑接觸台灣陸地，台北市風雨漸強，下午民眾外出時感受颱風威力。（記者方賓照攝）〔記者何世昌／台北報導〕杜鵑颱風登台，最強陣風17級，強風毀損供電，台北市各區均傳出停電消息。根據台電資料顯示，北市目前停電戶數超過16000戶，其中士林區占大宗，停電戶數約14000戶。另外，靠近世新大學的木柵路段路燈受風災而全部斷電，能見度受影響，民眾若行經須減速慢行。據台電資料顯示，北市目前停電數共16587戶，其中士林區占大宗，共14027戶；萬華戶有1943戶；北投區有398戶；信義區有80戶；內湖區有68；大同區有36戶；文山區有34戶。至於中山區、中正區、松山區也一度有停電，但除了中山區還有1戶未復電，其餘均恢復供電。另外，靠近世新大學的木柵路段路燈受風災而全部斷電，能見度受影響，民眾若行經須減速慢行。對此，台電副總李鴻洲表示，復電有固定的程序，採「供電樞紐變電所→主幹線→分歧線」的原則來進行，並以先捷運、火車、自來水及電話通信等公用設施，接著才會恢復一般家戶的用電。不過李鴻洲說，為確保台電人員自身安全，會視風雨情況搶修，盼民眾體諒。,54,2015-09-28  18:44,http://news.ltn.com.tw/news/life/breakingnews/1459004,4,北市停電戶數逾1萬6000戶 士林占大宗
54,54,中正區,供應大台北地區自來水的烏來直潭淨水廠截至晚間7點為止，原水濁度已達17350NTU。（記者鍾泓良攝）首次上稿：17:10〔記者郭安家／台北報導〕供應大台北地區自來水的新北市烏來區直潭淨水廠，截至晚間7點為止，原水濁度已達17350NTU。台北市自來水事業處發言人陳曼莉指出，下午5點半正式停水，至6點半為止第一圈停水區已影響台北市天母、北投、陽明山、木柵等山區，以及新北市中、永和、新店等地勢較高區域，沒有使用水塔的一樓住戶也受影響；粗估已影響5萬5千戶。晚間8點半、停水消息宣布第3小時，停水範圍則至第二圈，陳曼莉表示，包括士林市區、部分中山區、大直及內湖區一帶；影響的雙北用戶達累積8萬3000戶。至今晚11點半停水區將達第三圈，陳曼莉說，包括北市文山區景美一帶、萬華區、大安區、松山區、信義區、大同區，還有中山區及中正區靠市區一帶，以及新北市三重區；影響雙北用戶則累積達19萬戶。若停水狀況持續24小時，則會涵蓋整個雙北地區，影響雙北153萬戶用水。陳曼莉稍早表示，直潭淨水廠6座淨水設備，下午4點先將3座停止運轉，剩餘3座已慢慢停止運轉；直潭淨水廠上游南勢溪附近的福山降雨量已達3小時170毫米，雨量非常大，導致原水濁度「幾乎是直線往上升」；呼籲民眾儲水備用，並關閉抽水馬達。,55,2015-09-28  17:10,http://news.ltn.com.tw/news/life/breakingnews/1458901,4,快儲水！北市已5.5萬戶停水 晚間11點半將達19萬戶
55,55,中正區,〔記者何世昌／台北報導〕「龍腦屋」遭偷拆引發外界非議。洪秀柱「青年柱講團」成員何天陽在臉書質問覺醒公民在哪？他狠酸，大概參與文林苑、大埔案的運動者伸張土地正義正在爽度中秋節。北市中正區汀州路一段340巷口附近，有一塊占地逾1500坪的老舊社區，其中羅姓屋主認為其屋是北市「龍腦」，一旦拆屋會「傷龍脈、壞風水」拒搬遷，為此台北市長柯文哲曾前去拜訪溝通未果。不過，昨天下午「龍腦屋」竟悄悄遭太平洋建設拆除，目睹的網友稱，「兩分鐘就拆完」。「龍腦屋」遭偷拆引發各界非議。對此洪秀柱「柱講團」成員之一何天陽在臉書上質問覺醒公民在哪？何天陽在臉書發文，「是不是龍腦都好，總之房子是被拆了。回頭看那些文林苑與大埔運動的參與者，正在享受中秋節的悠閒呢。原來，他們追求土地正義的信仰，不過是藍綠對立和惡鬥的廉價價值罷了。」何天陽就讀台灣大學國家發展研究所，去年首都之戰，他在連勝文青年部任職。選舉結束後，輾轉到洪陣營服務，並擔任「青年柱講團」成員之一。謝維洲助理痛批強加藍綠框架在同學身上對此民進黨市議員謝維洲助理轉貼PO文痛批，｢怎不說說你在大埔王家事件發生的時候又做了些什麼呢？作為一個親洪名嘴，為龍腦發聲罵另一陣營的政府如何如何我都沒意見，畢竟這就是你的工作嘛，但強加藍綠框架在那些同學身上，並讓大家想起國民黨的強拆暴政，對於您的觀世音老闆究竟有何幫助？」對此謝維洲受訪時說，「龍腦屋」事件應回頭監督建商、市府未何在沒徵得屋主同意就擅自拆屋，而非口水戰，但仍會提醒助理未來發言要謹言。洪秀柱發言人李昶志則說，每個議題，每個人的看法不一，這是年輕人交流意見。謝維洲助理痛批柱講團的發言是強加藍綠框架在同學身上。（記者何世昌翻攝自臉書）,56,2015-09-26  14:05,http://news.ltn.com.tw/news/politics/breakingnews/1456887,4,龍腦屋被拆 柱講團成員發文酸覺醒公民
56,56,中正區,汀州路一段都更案中的「龍腦」戶，昨下午已經被拆除。（資料照，記者何世昌攝）〔即時新聞／綜合報導〕北市汀州路都更案最後一棟建築物「龍腦戶」昨下午驚傳已被拆除，都更處是在拆除後才得知，就連中正區永功里長陳宏明，也不清楚是自然因素還是有人來拆除。屋主羅進光今上午出面下跪痛哭，並透露昨晚9點半才得知自己的房子被拆除。羅進光今唸出聲明稿：「懇求馬總統先生，以及全國2300萬可愛、善良的台灣人，大家一起來祈福，保護龍腦寶地，留給大家的後代的子子孫孫，孕育後代的優秀人才，才能在世界立足！這個智慧才是全體國人擁有的，不是我羅進光個人的財產啊！請大家好好思考。」在唸聲明稿的過程中，羅進光不斷痛哭哽咽。羅進光進一步指出，希望台北市長柯文哲可以發揮高超智慧，保護龍腦地。太平洋建設公司昨天直接拆除最後一棟建築物，都更處總工程司張立立透露，下午「龍腦戶」被拆除後才收到訊息。里長陳宏明也表示，昨天也不清楚是自然因素，還是有人來拆除。柯文哲先前曾和屋主羅進光（左一）溝通。（北市議員童仲彥提供）羅進光下跪痛哭。（圖擷取自三立）,57,2015-09-26  11:34,http://news.ltn.com.tw/news/politics/breakingnews/1456739,4,昨晚才知房子被拆...龍腦戶屋主下跪痛哭
57,57,中正區,房市年度大檔928檔期將至，今年推案量較去年銳減，不過台北市仍有百萬豪宅陸續進場，新北市則競推摩天大樓企圖吸引購屋族目光。專家表示，雖然房市走冷，不過部分個案仍穩定銷售，端看個案表現，年底為傳統購屋旺季，只要符合自住客規劃，都能有好的銷售成績。根據《好房網》調研中心統計，今年北台灣928檔的推案量為1359億元，較去年歷史新高量2526億元減少了1167億元的量體，下滑46.2%。住展雜誌企研室經理何世昌表示，今年928檔期雖仍有建案開出天價，但比重已明顯下降，多數建案專攻自住客群買盤，改走開價平實的2~3房，料今年928檔期應能獲得自住客青睞。近來高總價產品去化大不易，不過雙北市928檔仍有豪宅建案推出，據永慶社區行情導覽統計，大直水岸、信義豪宅推案紛紛站上每坪200萬元，近來由大陸建設投資興建的信義計劃區案「琢白」價格自然受到矚目，欣陸投資控股企業傳播部經理葉昭慶表示，「琢白」總銷200億元，擁有101旁1059坪基地的稀有條件，將規劃140~250坪、地上31樓高的豪宅產品，每坪開價約在250~260萬元之間，不超過300萬元，採邊建邊售，總統大選後才會正式公開。除了「琢白」之外，宏普建設與台灣川普攜手合作，於建國南路一段推出小豪宅「TRUMP PARK」，距離大安森林公園250公尺，聯碩地產表示，該案規劃1~2房，可合併到3房，總共77戶，每坪開價145萬元起，以最低總價1500萬元挑戰入住大安區最低門檻。同樣開出百萬價格的還有中正區新推案，力麒建設此波有3案統稱「力麒南海」，其中新成屋「力麒麒御」僅剩5戶可售，規劃120坪，每坪均價150萬元，現場專案經理簡智敏表示，基地旁規劃預售案「力麒賦御」，採邊建邊售，預計明年初正式開盤，每坪均價也在150萬元。台北市百萬元以下的指標推案則有奇岩重劃區的「國美大奇」，現場銷售人員表示，不若周邊產品皆為60坪起跳，該案規劃26~38坪小坪數產品，每坪開價68萬元起，入住門檻低，廣告戶1638萬元買26坪2房，為自住客首選。觀察新北市，今年928檔期有多個建案進場，多數採用在地最高建築設計，企圖成為在地指標個案，如林口區「森聯摩天41」規劃樓高41樓，為全林口最高建築，基地位置正對A9捷運站，步行不到1分鐘，現場專案經理陳威仰表示，該案基地5面臨路，約3700坪，其中1300坪規劃中庭花園，目前公開時間與價格未定。同樣訴求林口捷運宅的還有位於文化三路、復興街口「惠友雙捷境」，總銷30億元，基地共達1455坪，規劃30~50坪、2~4房，每戶總價1350萬元起，距離捷運A9站350公尺，首購、首換皆適宜，日前世界級大師原廣司也曾參訪，直言建築規劃做到自我期許。該案每戶前陽台皆有樹穴植栽設計，整體立面垂直綠化，強調林口綠色建築。華固建設繼「華固新綠洲」創下口碑之後，於土城再推出「華固新代田」，每坪開價48~55萬元，現場專案經理盧慶彬表示，該案基地位土城清水商圈，基地1325坪，設計樓高達18~23樓為區域內最高。另外，中和路140號旁預售案「蒲陽雙和」預計10月中公開，規劃地上23樓，也是在地地標建築，現場專案經理孫偉表示，該案近捷運永安市場站，規劃15~41坪小坪數產品，每坪約63~65萬元，小宅設計符合低總價帶，建材配備不錯，適合自住、首購族購屋。今年新店區也是928檔期推案重點。新成屋「吉美君品」位五峰重劃區，基地正對公園，步行至捷運新店區公所站約3分鐘，現場專案協理劉維明表示，該案規劃新店唯一P&T;國際建築，採SRC鋼骨結構，設計地上28樓Artdeco建築，為新店區公所最高住宅，全棟岡石外觀、制震系統，每坪開價75萬元，去化表現不錯。而指標建商太子建設也於新店北新路、中正路口推出「W太子」，規劃25坪正2房，格局漂亮，衛浴附四件式且皆開窗，共65戶，總價約在1800~2000萬元，很適合自住客。除了一般大樓，新店華城推出獨棟別墅「寶徠華城」，訴求一戶一建照，擁有青山環繞的景觀視野，規劃90~120坪，每坪均價67萬元，訴求每戶皆有私人庭院與景觀電梯。新店「寶徠華城」總銷70億元，環境幽靜，景觀視野佳。「惠友雙捷境」距離捷運A9站350公尺，設計林口綠色建築。記者葉思含攝「華固新代田」為土城指標推案之一，每坪開價48~55萬元。「琢白」總銷200億元，為101旁精華區推案，相當受矚目。「吉美君品」近捷運新店區公所站，每坪開價75萬元。,58,2015-09-26,http://news.ltn.com.tw/news/consumer/paper/918612,4,雙北928豪宅撐場 案量年減千億元
58,58,中正區,〔記者鍾泓良／台北報導〕北市汀州路都更案爆出「龍腦」不同意戶，周遭房屋都已拆光只剩下中間一棟建築物，屋主羅進光宣稱因為自己的房子是龍腦，「只要一動就完蛋」。連台北市長柯文哲親自前來「開示」都沒有用，但昨天下午驚傳龍腦已經被拆除，都更處證實確實為太平洋建設公司所拆除，而都更處是在拆除後才得知。都發局長林洲民表示，根據都更處副處長簡裕榮報告，太平洋建設拆除前有向秘書處副秘書長李文英報告。李文英回應，她是拆除後才被告知，而市府的態度一向都是溝通解決。記者致電太平洋建設發言人陳清暉，在截稿前未回應。都更處總工程司張立立表示，都更處昨天下午收到訊息時，龍腦戶已經被拆除。他說，因為太平洋建設本來就有取得拆除執照，周遭的房屋也都已經拆除完畢，只剩下「龍腦戶」。他說，都更處之前有要求業者與不同意戶溝通，「但不清楚最後雙方溝通得如何？」中正區永功里長陳宏明表示，他昨天中午接到居民通知說房子倒了，但他跟居民也不清楚是自然因素還是有人來拆除。他表示，自己跟羅進光時常聯絡，根據他推測，對方應該沒有答應要拆屋，但昨天至晚間對方都沒有接電話。,59,2015-09-26,http://news.ltn.com.tw/news/local/paper/918783,4,〈台北都會〉龍腦被拆了 都更處事後才得知
59,59,中正區,汀州路一段都更案中的「龍腦」戶，今天下午已經拆除。（記者何世昌攝）〔記者鍾泓良／台北報導〕北市汀洲路都更案爆出「龍腦」不同意戶，周遭房屋都被拆光只剩下中間一棟建築物，屋主羅進光宣稱因為自己的房子是龍腦，「只一動就完蛋」。連台北市長柯文哲親自來「開示」都沒有用。但今天下午驚傳龍腦已經被拆除，都更處證實確實為太平洋建設公司所拆除，而都更處是在拆除後才得知。都發局長林洲民表示，根據都更處副處長簡裕榮向他報告，太平洋建設拆除後有向秘書處副秘書長李文英告知及現場沒有遇到抗爭。簡裕榮受訪時表示，他只有實施者只有跟他報告這兩件事情，但後續打給太平洋建設的人手機均未接。李文英回應，她是拆除後才被告知，而市府的態度一向都是溝通解決。記者致電太平洋建設發言人陳清暉，在截稿前均未回應。都更處總公司張立立受訪時表示，都更處今天下午才收到訊息時，龍腦戶已經被拆除。他說，因為太平洋建設本來就有取得拆除執照，周遭的房屋也都已經拆除完畢，只剩下「龍腦戶」。他說，都更處之前有要求業者與不同意戶溝通，「但不清楚最後雙方溝通得如何。」中正區永功里長陳宏明表示，他今天中午有居民通知，房子倒了，但他跟居民也不清楚是自然因素還是有人來拆除。他表示，自己跟羅進光時常聯絡，根據他推測，對方應該沒有答應要拆屋，但今天晚間對方都沒有接電話。,60,2015-09-25  20:18,http://news.ltn.com.tw/news/life/breakingnews/1456375,4,汀州路都更案「龍腦」戶 下午已被拆除
60,60,中正區,〔記者林欣漢／基隆報導〕親民黨基隆立委參選人劉文雄今天上午到基隆市中正區八斗子調和市場掃街，市議員徐莉莉也陪同不斷向買菜民眾及攤商打招呼，劉文雄一一與街上的民眾握手，尋求支持，不少商家都表達支持的態度。一行人步行到萬安堂時，原本坐著泡茶的民眾紛紛起身向劉文雄握手致意，肯定他當年協助向公路總局爭取保留萬安堂，避免徵收拆除命運，「我們這一區的票都是你的，放心啦！」讓劉文雄大受感動。劉文雄市場掃街尋求支持，不少商家都表達支持的態度。（記者林欣漢攝）劉文雄（左）在市議員徐莉莉（左2）陪同下向買菜民眾及攤商打招呼。（記者林欣漢攝）劉文雄一一與街上的民眾握手，尋求支持。（記者林欣漢攝）親民黨基隆立委參選人劉文雄到八斗子調和市場掃街。（記者林欣漢攝）,61,2015-09-24  12:14,http://news.ltn.com.tw/news/politics/breakingnews/1454713,5,劉文雄赴基隆傳統市場掃街 民眾力挺
61,61,中正區,住展調查，大台北地區近十年房價漲幅最高區是新莊區。（資料照，記者陳韋宗攝）〔記者徐義平／台北報導〕根據住展雜誌統計，近十年來大台北各行政區新成屋、預售屋房價漲跌幅排行出爐；結果顯示，台北市松山區及新北市中和區分列二、三名，但第一名卻是被謔稱為「鬼城」的行政區--新莊所摘下，漲幅達225.7%，從每坪15萬變51萬元。漲幅排行前十到六名，分別是南港、中正、蘆洲、五股、三重，十年來漲幅從160.4%～168.2%不等。各區上漲的主因略有差別，南港主要是捷運等建設題材，以及民間大型土地開發案與軟體園區所帶動。中正區則靠北市市中心優勢而漲，甚少特殊的房市題材。蘆洲、五股與三重在2005年都是一字頭房價，但現在分別漲到四、三、五字頭。蘆洲與三重均因距台北市近，又因捷運線通車激勵，房價強勢跟著北市走漲。而五股雖沒捷運，但拜洲子洋重劃區之賜，房價也有亮眼表現。漲幅前五到二名，則分別為信義區、大安區、中和區與松山區。住展雜誌企研室經理何世昌表示，信義區和大安區被視為『天龍區』，地段優勢無可取代，光靠地段就構成上漲基礎。松山區因為可建用地極少，近十年內推案量偏低，且豪宅案比例又高，在豪宅漣漪效應推波助瀾之下，大多數路段房價都站上百萬／坪，只剩寶清段一帶還在百萬／坪以下。至於中和區，因過去房價比周邊的永和、板橋與新店低，相對低價和成熟的生活機能，吸引不少外來客。尤其是捷運永安市場、景安站與南勢角站沿線，漲幅更為驚人。而近年來，遠雄左岸大規模造鎮又把行情往上推，使中和擠進排行第三名。強摘漲幅榜第一名的行政區，則是新莊。新莊因為頭前重劃區、副都心重劃區陸續開發，新建案如雨後春筍湧現，與『林、三、淡』一同被謔稱為『鬼城』，孰料到鬼城竟然漲最凶！何世昌分析，新莊因為擁有三條捷運線、中央合署辦公大樓進駐副都心，未來還有北側知識產業園區等題材，建設與政策加持是房價飆漲的主因。新莊飆漲起始關鍵年度為民國98年，接著捷運新莊線通車再漲一波，隨後延伸到丹鳳、迴龍站通車，房價由上新莊一路漲到下新莊，可以說全新莊每一塊地、每間房子都漲到。新莊近十年漲幅高達約225.7%，從每坪15萬變51萬，漲到十位數與個位數順序倒過來寫，成為大台北最會漲的地區。,62,2015-09-24  12:11,http://news.ltn.com.tw/news/business/breakingnews/1454706,5,大台北近十年房價漲幅 住展：「鬼城」奪冠
62,62,中正區,由國立臺灣文學館主辦、文訊雜誌社承辦的「尋訪文學．邂逅作家」系列活動，共有十二場講座課程與文學地景導覽，首場由向陽與張香華以「猛撞『醬缸』文化的柏楊」為題主講，時間是10月3日下午2時，地點在紀州庵文學森林（台北市中正區同安街一〇七號），詳情可上網：kishuan.org.tw。,63,2015-09-23,http://news.ltn.com.tw/news/supplement/paper/917753,5,【藝文短訊】向陽、張香華談柏楊
63,63,中正區,〔記者鍾泓良／台北報導〕台北市長柯文哲選前強調公辦都更，上任後更以勢在必行的態度宣布第一處公辦都更案在南機場，市府與居民協調過程雖爭議不斷，但已引發投資客搶進購買破舊老房，南機場整宅兩年前第一波上漲，十坪屋四百多萬元，現在已翻漲一倍到八百萬元，一坪要價八十萬元，可比擬民生社區，甚至有十坪店面喊價到三千五百萬元，讓政府原本幫助弱勢的好意，成了投資客眼中的火熱投資標的。中正區忠勤里長方荷生說，當時捷運萬大線確定進駐後就已經有一次波動，今年三月確定市府要公辦都更後，價錢又再波動一次。他舉例，辦公室附近就有兩間房子，兩年前才四百多萬元，現在售價都漲到八百多萬元，一樓店面更是水漲船高，甚至出現十坪店面喊到三千五百萬元的天價。但高房價並沒有讓投資客收手，有投資客已出手收購六間房子，還不斷在問。方荷生說，甚至有人到里辦公處打聽房價、捷運和都更的資訊。而面對外界虎視眈眈，居民也很樂意現在脫手，他說，有些居民對公辦都更本來就沒信心，而趁著南機場難得的高房價「逢高賣出」，再到其他地方置產。同樣狀況也出現在大同區，斯文里長江雪卿說，近來已有零星散戶買國宅，以往蘭州國宅一期五坪房僅有一百萬元，現轉手可賣近三百萬，也有二期十二坪左右空屋，不僅漏水、屋況也十分糟糕，身價卻翻倍漲，現已有六百萬行情。他說，部分居民對公辦都更沒信心，不少人已上網標售。南機場駐地工作站專案經理劉鴻農更直接說，南機場社區在投資客眼裡是塊肥肉。房產界推估，未來有望換回更大的坪數，「就算用一千萬去入手也是划得來。」另外，政府同時為了達成政策，也不斷宣導公辦都更的好處，也讓投資客看到勢在必行的態度，信心大增。但相較之下當地居民不一定有長遠的投資眼光，或許本身有財務狀況，就選擇在價錢最好的時機出售。但他認為，炒房對於都更推動是阻力，因為房價炒高後，日後權益分配將更難整合。而南機場駐地工作站同仁指出，工作站開幕第二天就有了解都更資訊的專家來探聽，他推估可能有四分之一來工作站的民眾都是投資客，通常都很排斥留下聯絡訊息，宣稱是當地居民朋友或親戚。南機場整宅推動公辦都更，已引發投資客搶進購買破舊老房。（記者鍾泓良攝）,64,2015-09-22,http://news.ltn.com.tw/news/local/paper/917568,5,〈台北都會〉南機場公辦都更 投資客搶進炒房
64,64,中正區,〔記者涂鉅旻、盧姮倩／台北報導〕全台登革熱病例累積超過一萬三千例，台北市議員許淑華昨天在市議會質詢說，全市竟有五百九十八處空屋內部嚴重積水，恐成病媒蚊孳生溫床，且這些空屋多是國防部、退輔會所有，地方難以介入；市長柯文哲答詢時允諾在一週內處理完畢。對於衛福部疾管署長郭旭崧的「噴藥無效論」，柯說，光噴藥的確沒用，必須連積水一起處理。許淑華昨天質詢，全市有五百九十八棟空屋內部積水，中正區二百零五棟最多、大安區九十一棟、萬華區六十二棟，積水與廢棄池塘已成孑孓、蚊蟲溫床。她批評，這些閒置屋舍多屬國防部、退輔會，地方里長、民眾想介入都難以介入，要求市府加強防疫。柯文哲說，將與國防部、退輔會溝通，承諾一週內處理完畢。許淑華追問，如果對方不配合怎麼辦？柯回，「他們不會不配合，會乖乖合作啦」。他也允諾，防疫產生的員工加班費，「絕對不能省。」許淑華說，登革熱防疫，北市府應展現強制力，若國防部、退輔會不願配合，依《傳染病防治法》第卅八條規定，地方政府可會同警察機關到需防疫場所，從事必要防疫工作，若場所的所有、使用、管理人在場，不得拒絕防疫工作；若不到場，防疫人員可強制進入場所防疫。據了解，消息傳出後，國防部和退輔會已開始處理積水問題。市議員許家蓓則質詢柯Ｐ，郭旭崧曾提「噴藥無效論」，是否認同？柯文哲說，藥噴久了，蚊子會產生抗藥性，因此重點在不要有積水，否則仍會孳生孑孓，務必做好環境清潔，並確保別讓帶原者傳染。市議員陳重文問，為何台南市登革熱疫情會一發不可收拾？柯文哲說，因為未即時迅速撲滅，當疫情一擴散就無法擋，因此，絕對不能讓登革熱疫情擴大，做好病例追蹤，並及時控制病媒蚊數量。,65,2015-09-22,http://news.ltn.com.tw/news/local/paper/917576,5,〈台北都會〉北市近600空屋積水養蚊 柯：1週解決
